0,545 2nd Pl,pending,299727,4,1,1608,33.3694442083,-112.1197146984
1,320 Blake St,active,123081,5,3,3125,33.4767593059,-112.1151215344
2,740 2nd Pl,pending,172219,5,2,1208,33.4688113577,-112.2287964718
3,533 8th Rd,pending,277683,5,2,1431,33.588584961,-112.0877998248
4,557 4th Cir,sold,284196,4,2,3173,33.5141533357,-112.283519483
5,466 8th Dv,sold,115253,5,2,2890,33.4505735865,-112.0939224847
6,195 2nd Cir,pending,269910,5,2,2804,33.5296056659,-111.8783296742
7,408 3rd Trl,pending,224414,3,1,1804,33.4437881967,-112.0294185977
8,352 Walnut Vis,pending,176905,4,1,3369,33.4837723817,-112.2077040553
9,366 Mission Trl,active,116829,5,3,3307,33.410348887,-112.0633633339
10,139 Turk Blvd,sold,255304,3,3,3509,33.4711980277,-112.17328843
11,463 Walnut St,pending,201903,2,2,2098,33.4073115348,-112.3295084321
12,429 Euclid Vis,active,201432,4,3,2721,33.4594869499,-112.3505875843
13,494 8th Cir,active,237154,2,1,2814,33.4848251496,-111.9698706163
14,565 5th Blvd,active,188333,2,1,1030,33.5912401565,-112.0149448693
15,394 5th Way,active,158236,2,3,3065,33.4375994397,-112.0435348962
16,45 California St,active,289702,5,3,3718,33.3861665505,-112.0400905887
17,509 9th Ave,sold,296497,5,2,3063,33.4942781369,-112.0906667004
18,103 Turk Wl,active,153987,3,3,2725,33.418802667,-112.2534912224
19,389 2nd Dv,sold,181554,2,2,2279,33.4517044735,-112.2039500077
20,142 Bush Vis,active,197597,3,3,1270,33.4157833248,-112.0180863557
21,425 9th Ave,active,264962,2,2,1847,33.4691167238,-112.220527159
22,648 Mission Way,sold,130570,4,2,2755,33.3708730987,-112.1820513484
23,551 California Trl,pending,136695,3,1,2359,33.4734267162,-111.9653328003
24,249 Post Cir,active,208519,5,1,1518,33.3710287006,-112.122920189
25,419 Euclid Pl,pending,262785,4,3,2061,33.5648101141,-112.1453578034
26,654 6th Pl,pending,278803,5,2,2324,33.4651565023,-112.3266001086
27,727 6th Rd,pending,198164,2,1,2140,33.4612592433,-111.9922713814
28,195 7th Pl,active,128686,4,2,1255,33.5476220732,-112.1279039216
29,162 Pine Blvd,pending,274519,2,1,3989,33.5358559711,-112.1606078101
30,137 9th Cir,active,298793,3,3,2153,33.3869730806,-112.2614487203
31,799 Indiana Way,active,214294,2,3,3556,33.4905774821,-112.0522129891
32,242 Texas Dv,sold,282527,2,1,2498,33.4438816093,-112.3363200327
33,493 9th Dv,pending,100438,3,3,1126,33.5728728896,-112.2767096314
34,752 Pine Ave,sold,202311,3,1,1532,33.3708888023,-112.0391106725
35,563 Mission Rd,active,197753,4,2,2143,33.3734300918,-111.9448793653
36,773 8th Dv,active,105572,3,1,3496,33.5079174664,-112.2117919218
37,742 6th Dv,pending,201973,5,2,3403,33.4250875148,-112.2523095853
38,529 Mission Rd,pending,255457,3,2,1398,33.4570454145,-112.1345816533
39,476 California Blvd,sold,292950,5,2,1986,33.4290942333,-111.9700248438
40,236 Mission Vis,sold,287081,4,1,3154,33.3838266135,-111.9676742593
41,641 Pine Dv,sold,164764,4,2,2667,33.418355311,-111.9836314864
